council_key,short_name,long_name,status,is_active,council_category,council_type,official_name,spatial_name,spatial_key,map_join_key,lga_code,abs_lga_code,abs_lga_code_2025,abs_lga_name_2025,abs_area_albers_sqkm,abs_shape_area,abs_shape_length,abs_join_method,state,polygon_record_count,office_township,office_address,office_lat,office_lon,office_geocoded,vif_metropolitan_region,vif_regional_partnership,vif_region_note,vec_electoral_structure,vec_ward_count,vec_councillor_count,vec_source_url,lgprf_latest_year,lgprf_group,lgprf_expenses_per_head,lgprf_infrastructure_per_head,lgprf_population_density_per_road_length,lgprf_own_source_revenue_per_head,lgprf_recurrent_grants_per_head,lgprf_relative_socioeconomic_disadvantage,lgprf_staff_turnover_pct,lgprf_average_rate_per_property_assessment,lgprf_satisfaction_consultation,lgprf_councillor_attendance_pct,lgprf_cost_elected_representation,lgprf_satisfaction_council_decisions,lgprf_adjusted_underlying_result_pct,lgprf_asset_renewal_upgrade_to_depreciation_pct,lgprf_satisfaction_sealed_local_roads,lgprf_rates_to_adjusted_underlying_revenue_pct,lgprf_rates_to_property_values_pct,governance_latest_year,governance_item_count,governance_yes_count,governance_no_count,governance_yes_pct,vgccc_year,vgccc_region,vgccc_lga_code,vgccc_net_expenditure,vgccc_seifa_dis_score,vgccc_seifa_dis_rank_state,vgccc_seifa_dis_rank_country,vgccc_seifa_dis_rank_metro,vgccc_seifa_advdis_score,vgccc_seifa_advdis_rank_state,vgccc_seifa_advdis_rank_country,vgccc_seifa_advdis_rank_metro,vgccc_adult_population_2024,vgccc_adults_per_venue_2024,vgccc_egms_per_1000_adults_2024,vgccc_expenditure_per_adult_2024,vgccc_workforce_june_2024,vgccc_unemployed_june_2024,vgccc_unemployment_rate_june_2024,has_abs_asgs,has_lgprf,has_governance,has_vec,has_vgccc
ALPINE,Alpine,Alpine Shire Council,active,True,Small shire,shire,ALPINE SHIRE,Alpine,ALPINE,ALPINE,300,20110,20110,Alpine,4788.157,7492619990.977866,557328.1368325942,code,VIC,1,Bright,"2 Churchill Ave, Bright VIC 3741",-36.7301603,146.9700165,yes,,Ovens Murray,,unsubdivided,0,7,https://www.vec.vic.gov.au/electoral-boundaries/local-councils/alpine-shire-council,2024-25,Small Shire,3362.3001742556253,20490.264413970755,22.6786941580756,2106.6747480869763,787.0293204030609,7,0.13333333333333333,1945.2296819787987,46,0.945054945054945,42806.857142857145,45,-0.10519237952932387,1.4319210201563142,45,0.5638899265346782,0.0029337835731675166,24-25,27,27,0,1.0,2023-24,Country,C2,2877179.41,1027.612702,56,41,0,988.9270847,48,41,0,10930.962105969846,5465.481052984923,5.306028823238151,263.2137392946093,7351,130,0.01768466875255067,True,True,True,True,True
ARARAT,Ararat,Ararat Rural City Council,active,True,Small shire,rural_city,ARARAT RURAL CITY,Ararat,ARARAT,ARARAT,301,20260,20260,Ararat,4211.1172,6697545388.620692,490470.03611724207,code,VIC,1,Ararat,"59 Vincent St, Ararat VIC 3377",-37.2827999,142.9315566,yes,,Central Highlands,,unsubdivided,0,7,https://www.vec.vic.gov.au/electoral-boundaries/local-councils/ararat-rural-city-council,2024-25,Small Shire,3145.3876433339037,50762.87865822351,4.7620211898940505,1856.6660961834673,1138.7985623823379,2,0.17424242424242425,2001.8799516583858,59,0.9166666666666666,43567.71428571428,59,-0.003467103467103467,1.0074848949409325,56,0.49393939393939396,0.002680904368482771,24-25,27,26,1,0.963,2023-24,Country,C43,6256569.22,955.2148339,15,12,0,931.8990008,18,16,0,9808.851749039755,4904.425874519878,8.971488432233143,637.8492998033629,5869,258,0.0439597887203953,True,True,True,True,True
BALLARAT,Ballarat,Ballarat City Council,active,True,Regional,city,BALLARAT CITY,Ballarat,BALLARAT,BALLARAT,302,20570,20570,Ballarat,739.0321,1176005998.6301537,205526.91760020677,code,VIC,1,Ballarat,"25 Armstrong St S, Ballarat VIC 3350",-37.5631508,143.8562995,yes,,Central Highlands,,single-councillor wards,9,9,https://www.vec.vic.gov.au/electoral-boundaries/local-councils/ballarat-city-council,2024-25,Regional City,2063.1061544816193,16731.846344485748,79.25024878227623,1645.6092523750517,336.2494836844279,4,0.11322808927599347,2086.240696173278,48,0.9658119658119658,57586.112222222226,46,-0.027757887026017104,1.2018755436742834,40,0.6628517576565677,0.004250721890907648,24-25,27,27,0,1.0,2023-24,Country,C20,63550282.39,985.7093504,29,25,0,964.8076543,33,30,0,93882.28568082275,6705.8775486301965,6.944867130915875,676.9145204459094,60373,2816,0.04664336706806022,True,True,True,True,True
BANYULE,Banyule,Banyule City Council,active,True,Metropolitan,city,BANYULE CITY,Banyule,BANYULE,BANYULE,303,20660,20660,Banyule,62.5402,100154415.46591131,71990.0546523561,code,VIC,1,Greensborough,"1 Flintoff St, Greensborough VIC 3088",-37.704398,145.1046952220213,yes,Northern,,,single-councillor wards,9,9,https://www.vec.vic.gov.au/electoral-boundaries/local-councils/banyule-city-council,2024-25,Metro,1389.309563332348,6574.527593969575,241.91986797469514,1254.4132917964694,130.29538167678558,9,0.16666666666666666,1787.0701513067402,72,0.9851851851851852,69608.66666666667,71,0.005091434123464564,1.676568148783124,70,0.6560242304498157,0.0020237083985891104,24-25,27,26,1,0.963,2023-24,Metro,M15,58630345.089999996,1057.684713,71,0,25,1064.256909,67,0,20,103517.67800472579,11501.96422274731,6.1342179639212056,566.3800253259487,76607,2460,0.032111947994308616,True,True,True,True,True
BASS COAST,Bass Coast,Bass Coast Shire Council,active,True,Large shire,shire,BASS COAST SHIRE,Bass Coast,BASS COAST,BASS COAST,304,20740,20740,Bass Coast,865.8094,1416061796.8359847,360414.578430964,code,VIC,3,Wonthaggi,"76 McBride Ave, Wonthaggi VIC 3995",-38.6079912,145.5909666,yes,,Gippsland,,multi-councillor wards,3,9,https://www.vec.vic.gov.au/electoral-boundaries/local-councils/bass-coast-shire-council,2024-25,Large Shire,2616.135179190486,23886.516518584842,43.264531765266796,2080.1248938172967,343.3202470326239,5,0.183206106870229,1726.706282813131,51,0.9259259259259259,49977.21444444444,50,-0.06334275822811979,0.6585772157649642,52,0.7264540932971268,0.0029473756822330044,24-25,27,25,2,0.9259,2023-24,Country,C29,20621836.61,992.8285467,34,29,0,957.4960869,28,25,0,35498.937387709084,7099.787477541817,6.00017960181951,580.9141942693745,20107,661,0.03287412343959815,True,True,True,True,True
BAW BAW,Baw Baw,Baw Baw Shire Council,active,True,Large shire,shire,BAW BAW SHIRE,Baw Baw,BAW BAW,BAW BAW,305,20830,20830,Baw Baw,4027.6287,6494034537.323616,547341.212547244,code,VIC,1,Drouin,"33 Young St, Drouin VIC 3818",-38.1315637,145.8587819,yes,,Gippsland,,multi-councillor wards,3,9,https://www.vec.vic.gov.au/electoral-boundaries/local-councils/baw-baw-shire-council,2024-25,Large Shire,2035.522171068573,13901.058072853566,33.462162162162166,1406.0253614409173,345.800070753574,6,0.13509933774834437,2138.414776712649,42,0.9012345679012346,50628.34444444444,41,-0.11061505830199192,0.7829442841620143,36,0.6726938004014231,0.0030326077148303747,24-25,27,27,0,1.0,2023-24,Country,C6,20430795.160000004,1003.321525,42,35,0,971.1326956,38,35,0,48169.90612879206,12042.476532198016,4.940844172784113,424.14023198164654,32053,844,0.026331388637569026,True,True,True,True,True
BAYSIDE,Bayside,Bayside City Council,missing,False,Metropolitan,city,BAYSIDE CITY,Bayside,BAYSIDE,BAYSIDE,306,20910,20910,Bayside (Vic.),37.2111,59928111.04214558,42554.597379618586,code,VIC,1,Sandringham,"76 Royal Ave, Sandringham VIC 3191",-37.959498,145.0166229,yes,Inner South East,,,single-councillor wards,7,7,https://www.vec.vic.gov.au/electoral-boundaries/local-councils/bayside-city-council,2024-25,Metro,1613.7036129591586,7259.447030663978,281.48010610079575,1459.243483669123,242.40939331687366,10,0.13043478260869565,2085.534013036938,72,0.9319727891156463,64385.142857142855,69,0.07714071686867108,1.2247726705416682,69,0.6372381532359329,0.0013307754138105596,24-25,27,27,0,1.0,2023-24,Metro,M8,12380460.230000002,1090.406575,79,0,30,1127.126354,78,0,29,82672.82856997922,27557.609523326406,1.6692304156883728,149.75246939229183,59319,1227,0.020684772164062105,True,True,True,True,True
BENALLA,Benalla,Benalla Rural City Council,active,True,Small shire,rural_city,BENALLA RURAL CITY,Benalla,BENALLA,BENALLA,381,21010,21010,Benalla,2352.6398,3656208934.125453,356392.8285917781,code,VIC,1,Benalla,"1 Bridge St E, Benalla VIC 3672",-36.5518507,145.9821045,yes,,Ovens Murray,,unsubdivided,0,7,https://www.vec.vic.gov.au/electoral-boundaries/local-councils/benalla-rural-city-council,2024-25,Small Shire,2609.702767338572,24038.811069354288,10.85038552787663,1991.7321489579774,796.1735565425349,3,0.09252669039145907,2118.837209302326,49,1,39860,47,0.10834850819442499,0.667811512570408,45,0.5440537890460849,0.004185225314147818,24-25,27,27,0,1.0,2023-24,Country,C48,6307206.379999999,968.4478935,20,17,0,938.3979906,20,18,0,12121.883373608813,4040.6277912029377,8.662020311843703,520.3157121385732,7322,307,0.04192843485386506,True,True,True,True,True
BOROONDARA,Boroondara,Boroondara City Council,active,True,Metropolitan,city,BOROONDARA CITY,Boroondara,BOROONDARA,BOROONDARA,307,21110,21110,Boroondara,60.1776,96597718.1778804,60100.499834812035,code,VIC,1,,,,,missing,Inner South East,,,single-councillor wards,11,11,https://www.vec.vic.gov.au/electoral-boundaries/local-councils/boroondara-city-council,2024-25,Metro,1524.841580153701,7600.074153970608,271.45711017918416,1559.8175362905038,80.78850388746574,10,0.11478260869565217,2252.621368759669,59,0.9527272727272728,69215.9790909091,57,0.07727609580984886,1.2468091385288838,64,0.7531087889151024,0.0015375437978830215,24-25,27,27,0,1.0,2023-24,Metro,M12,18805362.94,1089.616442,78,0,29,1130.726944,80,0,31,140973.83395920836,35243.45848980209,1.1491494233382038,133.39612332201625,102280,3211,0.031394211967149005,True,True,True,True,True
BRIMBANK,Brimbank,Brimbank City Council,active,True,Metropolitan,city,BRIMBANK CITY,Brimbank,BRIMBANK,BRIMBANK,308,21180,21180,Brimbank,123.3991,197698259.03393653,86864.30461176264,code,VIC,1,Sunshine,"301 Hampshire Rd, Sunshine VIC 3020",-37.7831433,144.8320965712473,yes,Western,,,single-councillor wards,11,11,https://www.vec.vic.gov.au/electoral-boundaries/local-councils/brimbank-city-council,2024-25,Metro,1316.47422180952,11391.653881868464,216.08724100327154,1196.611692034398,177.54552061044046,1,0.1260245901639344,1846.7908393945352,74,0.8811188811188811,72969.54545454546,72,0.047862031207226936,0.8250503693754198,72,0.691683547768957,0.0030229560028489522,24-25,27,27,0,1.0,2023-24,Metro,M28,171667782.49,912.4696637,3,0,2,928.4203582,13,0,2,159547.55541161777,10636.50369410785,5.910463482609609,1075.9662349392518,107496,6340,0.058978938751209346,True,True,True,True,True
