short_name,long_name,status,council_category
Alpine,Alpine Shire Council,active,Small shire
Ararat,Ararat Rural City Council,active,Small shire
Ballarat,Ballarat City Council,active,Regional
Banyule,Banyule City Council,active,Metropolitan
Bass Coast,Bass Coast Shire Council,active,Large shire
Baw Baw,Baw Baw Shire Council,active,Large shire
Bayside,Bayside City Council,missing,Metropolitan
Benalla,Benalla Rural City Council,active,Small shire
Boroondara,Boroondara City Council,active,Metropolitan
Brimbank,Brimbank City Council,active,Metropolitan
Buloke,Buloke Shire Council,active,Small shire
Campaspe,Campaspe Shire Council,active,Large shire
Cardinia,Cardinia Shire Council,active,Interface
Casey,Casey City Council,active,Interface
Central Goldfields,Central Goldfields Shire Council,active,Small shire
Colac Otway,Colac Otway Shire Council,active,Large shire
Corangamite,Corangamite Shire Council,active,Large shire
Darebin,Darebin City Council,active,Metropolitan
East Gippsland,East Gippsland Shire Council,active,Large shire
Frankston,Frankston City Council,active,Metropolitan
Gannawarra,Gannawarra Shire Council,active,Small shire
Glen Eira,Glen Eira City Council,active,Metropolitan
Glenelg,Glenelg Shire Council,active,Large shire
Golden Plains,Golden Plains Shire Council,active,Large shire
Greater Bendigo,Greater Bendigo City Council,active,Regional
Greater Dandenong,Greater Dandenong City Council,active,Metropolitan
Greater Geelong,Greater Geelong City Council,active,Regional
Greater Shepparton,Greater Shepparton City Council,active,Regional
Hepburn,Hepburn Shire Council,active,Small shire
Hindmarsh,Hindmarsh Shire Council,active,Small shire
Hobsons Bay,Hobsons Bay City Council,missing,Metropolitan
Horsham,Horsham Rural City Council,active,Regional
Hume,Hume City Council,active,Interface
Indigo,Indigo Shire Council,active,Small shire
Kingston,Kingston City Council,active,Metropolitan
Knox,Knox City Council,active,Metropolitan
Latrobe,Latrobe City Council,active,Regional
Loddon,Loddon Shire Council,active,Small shire
Macedon Ranges,Macedon Ranges Shire Council,active,Large shire
Manningham,Manningham City Council,active,Metropolitan
Mansfield,Mansfield Shire Council,active,Small shire
Maribyrnong,Maribyrnong City Council,active,Metropolitan
Maroondah,Maroondah City Council,active,Metropolitan
Melbourne,Melbourne City Council,excluded,Metropolitan
Melton,Melton City Council,active,Interface
Merri-bek,Merri-bek City Council,missing,Metropolitan
Mildura,Mildura Rural City Council,active,Regional
Mitchell,Mitchell Shire Council,active,Large shire
Moira,Moira Shire Council,active,Large shire
Monash,Monash City Council,active,Metropolitan
Moonee Valley,Moonee Valley City Council,active,Metropolitan
Moorabool,Moorabool Shire Council,active,Large shire
Mornington Peninsula,Mornington Peninsula Shire Council,active,Interface
Mount Alexander,Mount Alexander Shire Council,active,Large shire
Moyne,Moyne Shire Council,active,Large shire
Murrindindi,Murrindindi Shire Council,active,Small shire
Nillumbik,Nillumbik Shire Council,active,Interface
Northern Grampians,Northern Grampians Shire Council,active,Small shire
Port Phillip,Port Phillip City Council,active,Metropolitan
Pyrenees,Pyrenees Shire Council,active,Small shire
Queenscliffe,Borough of Queenscliffe Council,active,Small shire
South Gippsland,South Gippsland Shire Council,active,Large shire
Southern Grampians,Southern Grampians Shire Council,active,Large shire
Stonnington,Stonnington City Council,active,Metropolitan
Strathbogie,Strathbogie Shire Council,active,Small shire
Surf Coast,Surf Coast Shire Council,active,Large shire
Swan Hill,Swan Hill Rural City Council,active,Large shire
Towong,Towong Shire Council,active,Small shire
Wangaratta,Wangaratta Rural City Council,active,Regional
Warrnambool,Warrnambool City Council,active,Regional
Wellington,Wellington Shire Council,active,Large shire
West Wimmera,West Wimmera Shire Council,active,Small shire
Whitehorse,Whitehorse City Council,active,Metropolitan
Whittlesea,Whittlesea City Council,active,Interface
Wodonga,Wodonga City Council,active,Regional
Wyndham,Wyndham City Council,active,Interface
Yarra,Yarra City Council,missing,Metropolitan
Yarra Ranges,Yarra Ranges Shire Council,active,Interface
Yarriambiack,Yarriambiack Shire Council,active,Small shire
